lagoslakeid,lake_nhdid,lake_namelagos,lake_centroidstate,lake_missingws,lake_elevation_m,lake_waterarea_ha,lake_connectivity_class,latitude,longitude
92970,45361659,,MN,N,353.3,5.2,Isolated,45.22938,-94.9005
148672,65102335,Woodfolk Brothers Pond Number Two,VA,N,110.4,4.3,Drainage,37.98983,-77.99315
283421,143938993,Horseshoe Lake,AR,N,48.2,9.6,Isolated,34.46829,-91.20479
445564,140634924,,TX,N,1.1,2,Isolated,27.16616,-97.51835
412648,127272261,World Challenge Lake Number 1,TX,N,160.5,1.4,Isolated,32.51264,-95.51139
474584,129930305,,CA,N,78.5,1.4,Isolated,40.15136,-122.20899
114131,109944176,,MI,N,229.9,5.9,Isolated,46.59998,-85.42197
62136,105466559,,MO,N,217.5,1.2,Headwater,38.00757,-93.92881
378723,133144464,R R Rutherford Reservoir,CO,N,1227.7,20.6,Drainage,37.4869,-102.38132
128456,47710806,,MN,N,403.7,2.3,Drainage,47.52836,-94.33775
446487,113374358,,TX,N,3,6.2,Isolated,26.16379,-97.44932
269329,{4F6F8B22-E98D-4DC5-9949-0145A938B527},,TN,N,173.6,1.9,Isolated,36.04245,-86.92414
59562,87214172,,NY,N,429.5,1.8,Headwater,42.43229,-78.72216
93442,77033689,Wilderness Lake,KS,N,283.2,1.3,Drainage,38.83758,-94.64101
386753,157624441,,OK,N,233.3,1.1,Isolated,36.63559,-95.05468
142944,112211222,,MD,N,22.2,2.5,Drainage,39.29008,-76.10981
166134,47122588,,GA,N,92.7,2.8,Headwater,32.92827,-82.43246
464708,53240666,,ID,N,750.8,10.8,Drainage,42.93362,-115.73634
397696,134137631,,OK,N,310.9,7.4,Drainage,34.54645,-97.62881
157816,146910075,,SC,N,72.3,1.1,Headwater,34.54291,-80.00806
369351,129611356,,NE,N,981.3,1.4,Drainage,40.78424,-101.48319
210309,58677811,,FL,N,8.8,3.3,Headwater,28.33334,-82.6074
184398,68038755,,FL,N,25.6,1.2,Headwater,28.7576,-81.9402
319599,{AE0E0841-83C6-4E70-AF8F-AE81CF5CADD8},,MT,N,938.2,1.4,Drainage,46.82892,-108.16137
456948,145889012,,NV,N,1196.9,2.7,Drainage,39.46049,-118.64615
462018,157385647,,WA,N,289,1.3,Drainage,46.87461,-119.63395
354014,148616444,,ND,N,583.5,6,Isolated,46.52588,-98.99582
